title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Top 10 Most Powerful DC Cosmic Weapons,/watch?v=3AWNAWurr6o,2035,Lord Aiz,53200,,658079,0
Top 30 Most Powerful MCU Iron Man Armors,/watch?v=6EQnqZVkOIM,3166,Lord Aiz,53200,,658079,0
The Marvel Girls,/watch?v=G5z8v2aKm5g,1897,Lord Aiz,53200,,658079,0
5 Marvel Villains That All Might Can Defeat (& 5 That He Can't),/watch?v=o1tiP3h3B0g,2225,Lord Aiz,53200,,658079,0
Top 10 Highest Paid Actors in 2020,/watch?v=I8KQVSvZ9Uk,1629,Lord Aiz,53200,,658079,0
10 Most Powerful Weapons In All of Anime,/watch?v=cZUNLVbEhlk,2280,Lord Aiz,53200,,658079,0
Giorno Giovanna Theme Song,/watch?v=qrXEs9ptjuc,1598,Lord Aiz,53200,,658079,0
Anime Characters Rage Modes,/watch?v=PeZZnhQ3pD4,3391,Lord Aiz,53200,,658079,1
Oldest Dragon Ball Characters,/watch?v=6RY6ma-RZ0A,4645,Lord Aiz,53200,,658079,1
Every Character That Goku Has Lost Against in Chronological Order,/watch?v=Eb2faWYUDUA,4021,Lord Aiz,53200,,658079,1
Strongest Character In Every Anime,/watch?v=w2PT2Af3Q_s,7208,Lord Aiz,53200,,658079,1
The Greatest Anime Villains,/watch?v=tBQPsjCU8tw,3447,Lord Aiz,53200,,658079,1
20 Anime Teams,/watch?v=N2jOKYLK1gw,3466,Lord Aiz,53200,,658079,1
The Most Powerful Dragon Ball Super Fighters,/watch?v=3rI2pt4wl14,7408,Lord Aiz,53200,,658079,1
Top 12 Strongest Dragon Ball Demons,/watch?v=zSwb-Ct-pqg,4207,Lord Aiz,53200,,658079,1
All Dragon Ball Attacks Ranked by Power Multiplier,/watch?v=7FMEBPnuLp4,5949,Lord Aiz,53200,,658079,1
All Saiyan Transformations Ranked by Power Multiplier,/watch?v=ksQFAQoOs5U,6886,Lord Aiz,53200,,658079,1
Goku vs. Broly vs. Vegeta vs. Goku Black | All Forms and Transformations (DBS),/watch?v=yyHx9-Ma9-g,10512,Lord Aiz,53200,,658079,2
Gohan vs. Majin Buu | All Forms and Transformations (DBZ/DBS),/watch?v=WNbntBsRols,3850,Lord Aiz,53200,,658079,1
Top 12 Strongest Dragon Ball Dragons,/watch?v=DlTEow1c8YM,4738,Lord Aiz,53200,,658079,1
Vegeta vs. Androids | All Forms and Transformations (DBZ/DBGT/DBS),/watch?v=vy1zJiraS-g,7290,Lord Aiz,53200,,658079,1
Top 12 Strongest Majin Buu,/watch?v=q9KDT26XITg,4057,Lord Aiz,53200,,658079,1
Top 12 Strongest Anime Dads,/watch?v=JXjknsZD4l8,4168,Lord Aiz,53200,,658079,1
Goku vs. Gogeta | All Forms and Transformations (DBS),/watch?v=hUPjRTpI_AE,5777,Lord Aiz,53200,,658079,1
Vegeta vs. Toppo vs. Vegito vs. Fused Zamasu | All Forms and Transformations (DBS),/watch?v=gKMQ6cdc1Bg,5563,Lord Aiz,53200,,658079,1
Vegeta vs. Moro | All Forms and Transformations (DBS),/watch?v=pzwgjOi2i5M,7556,Lord Aiz,53200,,658079,1
Top 20 Strongest Dragon Ball Female Characters,/watch?v=ual9XK1ndOI,10191,Lord Aiz,53200,,658079,2
Top 12 Strongest Badass Anime Characters,/watch?v=jysnrrf5LAg,5733,Lord Aiz,53200,,658079,1
Goku vs. Beerus | All Forms and Transformations (DBS),/watch?v=NHEfp8B6zao,7444,Lord Aiz,53200,,658079,1
Top 12 Strongest LGBT Anime Characters,/watch?v=IL98APNsl48,4341,Lord Aiz,53200,,658079,1
Goku vs. Jiren vs. Broly vs. Gogeta | All Forms and Transformations (DBS),/watch?v=BZ32OVb_2HQ,9355,Lord Aiz,53200,,658079,1
Top 20 Strongest Dragon Ball Saiyan Transformations,/watch?v=zlgs4mRT48E,5365,Lord Aiz,53200,,658079,1
Top 30 Strongest Vegeta Forms and Transformations (Canon and Non-Canon),/watch?v=ZDDmkkKn2y4,5325,Lord Aiz,53200,,658079,1
Kefla vs. Vegito | All Forms and Transformations (DBS),/watch?v=tZVo5C7KWwA,8051,Lord Aiz,53200,,658079,1
Top 12 Strongest Baki (Manga) Characters,/watch?v=8Sbn55cxoVI,4993,Lord Aiz,53200,,658079,1
Broly vs. Jiren | All Forms and Transformations (DBS),/watch?v=OV0rNp3U0qo,36784,Lord Aiz,53200,,658079,6
Top 12 Strongest Baki (2020) Characters,/watch?v=IgjIwbJbGFc,29915,Lord Aiz,53200,,658079,5
Goku vs. Goku Black | All Forms and Transformations (DBS),/watch?v=0eijQAgc0Mk,4558,Lord Aiz,53200,,658079,1
Yujiro Hanma Laughing Hysterically,/watch?v=65vTNExRhTs,4823,Lord Aiz,53200,,658079,1
Official Age of Baki the Grappler Characters,/watch?v=IuuE_aWDjUw,4135,Lord Aiz,53200,,658079,1
Baki (2020) Intro,/watch?v=FLyO48glyHc,2626,Lord Aiz,53200,,658079,0
Top 12 Strongest Baki (2018) Characters,/watch?v=DGh7C9qCvh4,11568,Lord Aiz,53200,,658079,2
Top 18 Strongest Dragon Ball Androids,/watch?v=rfr8DkCr37w,4834,Lord Aiz,53200,,658079,1
24 Black Anime Characters,/watch?v=Ul4XXmz-6A8,2482,Lord Aiz,53200,,658079,0
20 Dragon Ball Couples,/watch?v=RquTA6oIBPc,11194,Lord Aiz,53200,,658079,2
Goku vs. Broly | All Forms and Transformations (DBZ/DBGT/DBS),/watch?v=Wl-EQOiTTkA,8110,Lord Aiz,53200,,658079,1
Goku vs. Saitama | All Forms and Transformations (DBS/OPM),/watch?v=zTA4gJlo0Dk,13233,Lord Aiz,53200,,658079,2
Top 30 Highest One Piece Bounties,/watch?v=-UwNkXUd8-4,4484,Lord Aiz,53200,,658079,1
SS4 Gogeta vs. SSG Goku | Jump Force Mugen Simulation,/watch?v=_EW_FgHX47U,1058,Lord Aiz,53200,,658079,0
100 Artists Make Fan Art of Their 6 Favorite Characters,/watch?v=wyonjCCJb_c,1085,Lord Aiz,53200,,658079,0
Top 12 Strongest Dragon Ball Gods,/watch?v=AMaf1MvoaFI,3137,Lord Aiz,53200,,658079,0
Beerus vs. Moro | All Forms and Transformations (DBS),/watch?v=Wf3N7ydq62U,9753,Lord Aiz,53200,,658079,1
Goku vs. Vegeta | All Forms and Transformations (DBZ/DBGT/DBS),/watch?v=nv8Xoh1NLr0,16305,Lord Aiz,53200,,658079,2
Top 20 Strongest Gohan Forms and Transformations (Canon and Non-Canon),/watch?v=pGB5-O3xO4c,3983,Lord Aiz,53200,,658079,1
Evolution of Top 10 Most Popular Video Games of All Time,/watch?v=XICsI__qctY,2734,Lord Aiz,53200,,658079,0
Official Age of Anime Protagonists,/watch?v=UwBiAGhKais,11523,Lord Aiz,53200,,658079,2
Top 12 Strongest Super Dragon Ball Heroes Villains,/watch?v=g6KdfpyZrCY,3255,Lord Aiz,53200,,658079,0
SSBE Vegeta vs. UI Goku | Jump Force Mugen Simulation,/watch?v=Sj8ry5BwZqw,1217,Lord Aiz,53200,,658079,0
Top 12 Strongest Dragon Ball Super Moro Arc Characters,/watch?v=fhuRx21iCT4,5220,Lord Aiz,53200,,658079,1
Top 12 Strongest Anime Villains of All Time,/watch?v=8R2ZeCVdvVs,6172,Lord Aiz,53200,,658079,1
Top 12 Strongest Dragon Ball Super Villains,/watch?v=wqixYkvw_Hc,4490,Lord Aiz,53200,,658079,1
40 Anime Extraordinary Geniuses,/watch?v=l7tkeLXvbAU,2060,Lord Aiz,53200,,658079,0
Top 12 Strongest Zeno Forms and Fusions,/watch?v=ufO7VpzD8pU,3490,Lord Aiz,53200,,658079,1
Top 20 Strongest Goku Non Official Forms Ranked,/watch?v=yPZyi2x3kl0,5783,Lord Aiz,53200,,658079,1
Goku vs. Gogeta (Official & Non Official Forms) Power Levels,/watch?v=ixVhRu_9om4,6734,Lord Aiz,53200,,658079,1
Yamcha vs. Saitama | Jump Force Mugen Simulation,/watch?v=rAdxWJV_kqw,1721,Lord Aiz,53200,,658079,0
Unreal Engine 5 Power on the PlayStation 5,/watch?v=_Xct_2BsLwI,1572,Lord Aiz,53200,,658079,0
