title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
QUI est le HOKAGE le plus PUISSANT ? 🦊,/watch?v=5nohQ0jzgjo,198885,Manga Trash,84800,3週間前,189397,105
Les 9 PILIERS de DEMON SLAYER les plus PUISSANTS ⚔️,/watch?v=N2SSFqdtFn0,162958,Manga Trash,84800,1か月前,189397,86
LES 12 OPENINGS les plus CULTES ! (et pourquoi?) 📺,/watch?v=ma0O5ho8Lhw,286184,Manga Trash,84800,2か月前,189397,151
La CENSURE dans DRAGON BALL 🐉,/watch?v=8uyfJ98XeGQ,254288,Manga Trash,84800,2か月前,189397,134
Faut-il détester FAIRY TAIL ?! 🧚,/watch?v=vcshEE1QA1Q,197636,Manga Trash,84800,3か月前,189397,104
La CENSURE dans SAILOR MOON 🌙 (il est hardcore cet anime en fait),/watch?v=_bft7s6iW6w,237614,Manga Trash,84800,3か月前,189397,125
6 ERREURS dans DEATH NOTE 🍎 (et leurs explications),/watch?v=OL463WP-gHo,166712,Manga Trash,84800,3か月前,189397,88
6 MÉCHANTS d'Animé que TRASH A OUBLIÉ ! 👹,/watch?v=k4oFcJyJbUk,283331,Manga Trash,84800,4か月前,189397,150
Pourquoi BLEACH a RATÉ SA FIN ? ⚔️,/watch?v=quk8sMdCtJw,91653,Manga Trash,84800,4か月前,189397,48
6 MOMENTS de MY HERO ACADEMIA qui donnent des FRISSONS 👊,/watch?v=nB0VFGFMe6E,183447,Manga Trash,84800,4か月前,189397,97
6 SECRETS sur COWBOY BEBOP 🤠,/watch?v=9aqNAdeCZ7Q,63617,Manga Trash,84800,4か月前,189397,34
3 THÉORIES FOLLES sur l'animé DEMON SLAYER ! 👺,/watch?v=ww5ri7sf5i0,146441,Manga Trash,84800,5か月前,189397,77
