title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Watercolor with Bleach: Celebrate Sunflowers,/watch?v=5CswPEbXxlI,158,Meg Lov,14300,,1050,15
Stamping with Bleach: Water Painter Splatter Technique,/watch?v=sLsoIeH8YK0,238,Meg Lov,14300,,1050,23
Simple Fancy Card Layout - Extended Z Fold: Watercolor Sunflowers for Fall,/watch?v=VJti0D_5OJ8,432,Meg Lov,14300,,1050,41
Pampered Pets Cards That Move: Flip Flop Dog Card,/watch?v=GLBrAR12w7U,436,Meg Lov,14300,,1050,42
Pampered Pets Cards That Move: 3D Pop Up Triple Cube Card,/watch?v=5n968NzVTro,524,Meg Lov,14300,,1050,50
Pampered Pets Cards That Move: Dinner Time Dog Slider Card,/watch?v=JkjX1a0zKro,334,Meg Lov,14300,,1050,32
Pampered Pets Cards That Move: Double Z Fold Tutorial,/watch?v=SI553RhGVN8,596,Meg Lov,14300,,1050,57
Secret Magic of 3x4: Whale of a Time Designer Paper,/watch?v=lyR_cd0VaeI,440,Meg Lov,14300,,1050,42
"Don't Waste Your DSP: Love a Turtle, Love the Ocean",/watch?v=sJonyeG2Fd0,463,Meg Lov,14300,,1050,44
"Make the Most of the Whale Builder Punch - Waves, Whales and More",/watch?v=xnzzHhedZuo,427,Meg Lov,14300,,1050,41
Whale Done: Ombre Whales and Top Tips for Using DSP,/watch?v=-nir2OqS6j0,499,Meg Lov,14300,,1050,48
"Simple Summer Card Layout Ideas: 3 x 4"" DSP Designs",/watch?v=XD_oWRFXkx8,397,Meg Lov,14300,,1050,38
DSP Card Base - Get MORE from Your Papers,/watch?v=tMh1K1DXTLg,466,Meg Lov,14300,,1050,44
Stamping 101: Reverse Masking Technique with Timeless Tropical,/watch?v=AJd6tfFt8Ko,334,Meg Lov,14300,,1050,32
Tropical Triple Technique Card: Three Panels + Three Ways to Add Color,/watch?v=uLxB96vrWYQ,366,Meg Lov,14300,,1050,35
Try a Hot Trend with These Tips: DSP Card Base,/watch?v=TcIo0TQzeSo,696,Meg Lov,14300,,1050,66
NEW Fancy Fold Idea: Drapery Fold DSP Card Base,/watch?v=64CQ8h9gj8I,923,Meg Lov,14300,,1050,88
How to Do MORE with Your Stampin Blends: Inked Spotlighting,/watch?v=dl9AD7w3khQ,290,Meg Lov,14300,,1050,28
Stampin' Blends Made Simple: Coloring with Under My Umbrella,/watch?v=lEOEhj-yqlA,301,Meg Lov,14300,,1050,29
Simple Stamping: Make A Masked Mountain Sunset,/watch?v=-UZeneZuCX8,240,Meg Lov,14300,,1050,23
Would You Mix and Match These Stamps and Patterns?,/watch?v=Smiyyc_CKto,181,Meg Lov,14300,,1050,17
