title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
ASL SEASON 4 WEEK 3 DAY 2 - DG ESPORTS VS POWD ESPORTS MATCH 2 - GARENA AOV INDONESIA,/watch?v=Y5lClO2FRrM,49,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 3 DAY 2 - DG ESPORTS VS POWD ESPORTS MATCH 1 - GARENA AOV INDONESIA,/watch?v=yriwogpNR8s,27,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 3 DAY 2 - EVOS ESPORTS VS HERTZ MATCH 2 - GARENA AOV INDONESIA,/watch?v=Qz9s6w1XkBI,20,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 3 DAY 2 - EVOS ESPORTS VS HERTZ MATCH 1 - GARENA AOV INDONESIA,/watch?v=gxlvybJ7KtY,26,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 3 DAY 1 - TEAM ELVO VS ARCHANGEL MATCH 3 - GARENA AOV INDONESIA,/watch?v=GmU0drLLFoY,5,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 3 DAY 1 - TEAM ELVO VS ARCHANGEL MATCH 2 - GARENA AOV INDONESIA,/watch?v=JQ600WhX0Ts,7,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 3 DAY 1 - TEAM ELVO VS ARCHANGEL MATCH 1 - GARENA AOV INDONESIA,/watch?v=HpoulaY1FJc,9,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 3 DAY 1 - POWD ESPORTS VS SPCE ESPORTS MATCH 2 - GARENA AOV INDONESIA,/watch?v=1_ZSicBbPBU,8,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 3 DAY 1 - POWD ESPORTS VS SPCE ESPORTS MATCH 1 - GARENA AOV INDONESIA,/watch?v=tWhsmpQumyc,7,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 2 DAY 2 - DG ESPORTS VS EVOS ESPORTS MATCH 2 - GARENA AOV INDONESIA,/watch?v=kCDUJmfZAbQ,32,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 2 DAY 2 - DG ESPORTS VS EVOS ESPORTS MATCH 1 - GARENA AOV INDONESIA,/watch?v=EHxYXzCzymE,7,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 2 DAY 2 - TEAM ELVO VS HERTZ MATCH 2 - GARENA AOV INDONESIA,/watch?v=C6t2TIU20-M,13,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 2 DAY 2 - TEAM ELVO VS HERTZ MATCH 1 - GARENA AOV INDONESIA,/watch?v=35871Naw6NE,4,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 2 DAY 1 - SPCE ESPORTS VS EVOS ESPORTS MATCH 2 - GARENA AOV INDONESIA,/watch?v=TuCi1_KFJNw,6,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 2 DAY 1 - SPCE ESPORTS VS EVOS ESPORTS MATCH 1 - GARENA AOV INDONESIA,/watch?v=ScCS8PuXN7U,9,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 2 DAY 1 - DG ESPORTS VS TEAM ELVO MATCH 2 - GARENA AOV INDONESIA,/watch?v=T026YmGYOI8,9,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 2 DAY 1 - DG ESPORTS VS TEAM ELVO MATCH 1 - GARENA AOV INDONESIA,/watch?v=J8C2KGHssSg,11,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 1 DAY 2 - ARCHANGEL VS HERTZ MATCH 2 - GARENA AOV INDONESIA,/watch?v=U_9z7EGpy9M,4,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 1 DAY 2 - ARCHANGEL VS HERTZ MATCH 1 - GARENA AOV INDONESIA,/watch?v=H4OUarj5kE8,10,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 1 DAY 2 - POWER DANGER VS EVOS ESPORTS MATCH 2 - GARENA AOV INDONESIA,/watch?v=MosKUH9Jk9Y,10,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 1 DAY 2 - POWER DANGER VS EVOS ESPORTS MATCH 1 - GARENA AOV INDONESIA,/watch?v=kzRbY3KlPig,25,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 1 DAY 1 - SPCE ESPORTS VS TEAM ELVO MATCH 2 - GARENA AOV INDONESIA,/watch?v=Ctabg80TAB8,11,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 1 DAY 1 - SPCE ESPORTS VS TEAM ELVO MATCH 1 - GARENA AOV INDONESIA,/watch?v=5p9w9Ru-OJQ,13,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 1 DAY 1 - ARCHANGEL VS DG ESPORTS MATCH 2 - GARENA AOV INDONESIA,/watch?v=oHuZDVaKuw8,14,Moba Tou,2490,,52564,0
ASL SEASON 4 WEEK 1 DAY 1 - ARCHANGEL VS DG ESPORTS MATCH 1 - GARENA AOV INDONESIA,/watch?v=KOynzPtNgBs,47,Moba Tou,2490,,52564,0
Bleach The Movie 2   The DiamondRush  (Subtitle Indonesia),/watch?v=iDFkcZy8jpA,1471239,Moba Tou,2490,,52564,2799
Cara Membuat Blog untuk pemula (Newbie Only),/watch?v=TFo7bpzvWD0,93,Moba Tou,2490,,52564,0
Cara Membuat Akun Gmail untuk pemula (Newbie Only),/watch?v=HlZ3j-kNPdk,70,Moba Tou,2490,,52564,0
