title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Dabin - In Flames (feat. Lexi Norton) (Acoustic),/watch?v=st6ph0iW3H4,10513,MrSuicideSheep,12400000,1時間前,331028,3
Tayo Sound - Heartbreaker,/watch?v=2oVBD0j9LR0,46168,MrSuicideSheep,12400000,1日前,331028,14
NICOLOSI - WWW,/watch?v=Pmx-adqTcdM,80671,MrSuicideSheep,12400000,3日前,331028,24
Blut Own - Moment,/watch?v=ecM1z3yM38s,82742,MrSuicideSheep,12400000,4日前,331028,25
MEMBA - Strider,/watch?v=pjyty2bSPkY,126298,MrSuicideSheep,12400000,5日前,331028,38
DROELOE - Open Blinds,/watch?v=FKgLwVYhkBM,130005,MrSuicideSheep,12400000,6日前,331028,39
chloe moriondo - Kindergarten (BUNT. Remix),/watch?v=lwkbDpdNOBU,85046,MrSuicideSheep,12400000,1週間前,331028,26
2 Man Embassy - Here (feat. Silent Child),/watch?v=HtORG3GozEM,110708,MrSuicideSheep,12400000,1週間前,331028,33
RUNN - Misery,/watch?v=NojM39mpUK4,146311,MrSuicideSheep,12400000,1週間前,331028,44
BRONSON - KNOW ME (feat. Gallant),/watch?v=VQClq-P3XmQ,107706,MrSuicideSheep,12400000,1週間前,331028,33
babel - sad faces & dark places (lyrics),/watch?v=En_Pn3Csa7Q,127048,MrSuicideSheep,12400000,1週間前,331028,38
Hahlweg - In My Head (feat. Lexi Norton),/watch?v=c5G6qZcGPm8,134980,MrSuicideSheep,12400000,1週間前,331028,41
Stonefox - The Garden,/watch?v=SMT9Yzvw9w0,143344,MrSuicideSheep,12400000,2週間前,331028,43
Dabin & Trove - Lights (Acoustic),/watch?v=gGENPlBk3f4,127679,MrSuicideSheep,12400000,2週間前,331028,39
Ollie - Seasons (lyrics),/watch?v=ZiaUcHeIUv8,105251,MrSuicideSheep,12400000,2週間前,331028,32
Elijah Hill - Better,/watch?v=DXywQVr7wdU,171719,MrSuicideSheep,12400000,2週間前,331028,52
Grant & Dylan Matthew - All That I Know,/watch?v=5y8JyPoURso,146744,MrSuicideSheep,12400000,2週間前,331028,44
Stay Over - Happy (lyrics),/watch?v=v8GXq_a6Zhw,151782,MrSuicideSheep,12400000,3週間前,331028,46
Landon - Make It Easy (feat. Maggie Petkovic),/watch?v=GFurIGJKFgI,182983,MrSuicideSheep,12400000,3週間前,331028,55
Lane 8 & OTR - Shatter,/watch?v=HLFykAp2ePE,135911,MrSuicideSheep,12400000,3週間前,331028,41
Skott - My Name,/watch?v=-z5EB8K76dQ,149672,MrSuicideSheep,12400000,3週間前,331028,45
Westerns - Can't Get You,/watch?v=gm7ZXu9ZXLw,111958,MrSuicideSheep,12400000,3週間前,331028,34
Jason Ross - Open Water (feat. Heather Sommer),/watch?v=09g7Phvz6iw,150865,MrSuicideSheep,12400000,3週間前,331028,46
Nina Chuba - Jungle (lyrics),/watch?v=fh9obuIGKBU,254322,MrSuicideSheep,12400000,4週間前,331028,77
Dabin & RUNN - Alive (Acoustic),/watch?v=3ESS_e-RMXo,340167,MrSuicideSheep,12400000,4週間前,331028,103
xChenda - idontevenknowmyself,/watch?v=RaH4cYcOGU0,417926,MrSuicideSheep,12400000,4週間前,331028,126
TWO LANES - Never Enough,/watch?v=5q4OytlKr1s,257775,MrSuicideSheep,12400000,1か月前,331028,78
Galdive - Nescience (lyrics),/watch?v=JgnjJ6miMr0,231186,MrSuicideSheep,12400000,1か月前,331028,70
inverness & William Bolton - Lost My Mind (lyrics),/watch?v=BFtUaKHgEf4,190658,MrSuicideSheep,12400000,1か月前,331028,58
NCT - Dancing In The Rain,/watch?v=vhgNucm5tWk,143737,MrSuicideSheep,12400000,1か月前,331028,43
updog - 3000,/watch?v=03n3bHpLQZ4,185801,MrSuicideSheep,12400000,1か月前,331028,56
Zes - Closeby,/watch?v=6vt8dnLeL5o,139758,MrSuicideSheep,12400000,1か月前,331028,42
Hahlweg & RUNN - Secrets,/watch?v=snVkGDq8AEc,463955,MrSuicideSheep,12400000,1か月前,331028,140
death bed (coffee for your head)「AMV」,/watch?v=ayVsO0QXdNk,1050448,MrSuicideSheep,12400000,1か月前,331028,317
Ben Provencial - Not Alright,/watch?v=g7uXXe-2he0,134683,MrSuicideSheep,12400000,1か月前,331028,41
AViVA - E V I L (lyrics),/watch?v=I7UyyWGlrz8,360465,MrSuicideSheep,12400000,1か月前,331028,109
Yuppycult - Anxious,/watch?v=Uy-x0uB3zzo,230942,MrSuicideSheep,12400000,1か月前,331028,70
8 Graves - Eye For An Eye (lyrics),/watch?v=66ICEL07z7U,258831,MrSuicideSheep,12400000,1か月前,331028,78
mehro - hideous (lyrics),/watch?v=wZ8RAoi9X-I,525659,MrSuicideSheep,12400000,1か月前,331028,159
Besomorph & Silent Child - IDGAF (lyrics),/watch?v=PmARy9lBOh0,212250,MrSuicideSheep,12400000,1か月前,331028,64
RUNN - Handle With Care (lyrics),/watch?v=oeDnhgixCtI,175624,MrSuicideSheep,12400000,1か月前,331028,53
Rosenfeld - Like U (lyric video),/watch?v=ws-W0JGcBss,379568,MrSuicideSheep,12400000,1か月前,331028,115
Oliver Tree - Let Me Down (Enylo Remix),/watch?v=FwXaa6bfM0k,209840,MrSuicideSheep,12400000,1か月前,331028,63
Justin OH - For A Minute,/watch?v=lFARjbAftm8,198883,MrSuicideSheep,12400000,1か月前,331028,60
St. South - Not Angry Yet (lyrics),/watch?v=00ylnMVYHjc,156699,MrSuicideSheep,12400000,1か月前,331028,47
SEBASTIAN PAUL - Crush (lyrics),/watch?v=g9hfpxv9s50,186091,MrSuicideSheep,12400000,1か月前,331028,56
Módl - Faith,/watch?v=lHGy4NbnU88,169534,MrSuicideSheep,12400000,1か月前,331028,51
Seven Lions & HALIENE - What's Done Is Done (Delta Heavy Remix),/watch?v=3S0VpGX6mjY,275724,MrSuicideSheep,12400000,1か月前,331028,83
UNDREAM - Freak (feat. Silent Child & Hannabelle) (lyrics),/watch?v=F1Mkp4p8xkA,378695,MrSuicideSheep,12400000,1か月前,331028,114
ford. - Hold On (feat. Ayelle),/watch?v=-pOjM8lLNwo,316568,MrSuicideSheep,12400000,1か月前,331028,96
Mia Vaile - American Dream (lyrics),/watch?v=u83uRU7i0E0,330138,MrSuicideSheep,12400000,2か月前,331028,100
Stephen - Stray Nights (lyrics),/watch?v=SzHRFv7J6DE,219583,MrSuicideSheep,12400000,2か月前,331028,66
RMND & Riell - What You Made Me,/watch?v=Vlv9T8Hwd90,723064,MrSuicideSheep,12400000,2か月前,331028,218
Lauv - love somebody (lyrics),/watch?v=2j8ZBwA4_-w,170320,MrSuicideSheep,12400000,2か月前,331028,51
La Félix - OKAY,/watch?v=Wg205-6m5kI,183755,MrSuicideSheep,12400000,2か月前,331028,56
Ninajirachi - Alight,/watch?v=eBZGqNBa0aY,187804,MrSuicideSheep,12400000,2か月前,331028,57
Lonely God - Sunday,/watch?v=4NPMIieLdLI,200788,MrSuicideSheep,12400000,2か月前,331028,61
NICOLOSI - The Money (lyrics),/watch?v=fXT29CNr2hg,656719,MrSuicideSheep,12400000,2か月前,331028,198
Flux Pavilion x Feed Me - Survive (feat. meesh),/watch?v=C4KI0VX3aCQ,222187,MrSuicideSheep,12400000,2か月前,331028,67
The Naked and Famous - Sunseeker (Throttle Remix),/watch?v=sZWUHall7cM,193118,MrSuicideSheep,12400000,2か月前,331028,58
B3LLA x xChenda - Bring Me Down,/watch?v=pPG2jBPQGqQ,835925,MrSuicideSheep,12400000,2か月前,331028,253
King Henry - Remember,/watch?v=Vt7noRjxCIg,213313,MrSuicideSheep,12400000,2か月前,331028,64
sad face. - one day,/watch?v=nroq3jRSLHg,254123,MrSuicideSheep,12400000,2か月前,331028,77
updog - useless (lyrics),/watch?v=1rBjtfgv55c,271416,MrSuicideSheep,12400000,2か月前,331028,82
rei brown - Bubble (lyrics),/watch?v=zHph8AAu3yQ,175999,MrSuicideSheep,12400000,2か月前,331028,53
Silent Child - F**K YOU (lyrics),/watch?v=L7T6UOkHkJo,8163627,MrSuicideSheep,12400000,2か月前,331028,2466
RAC - Stuck On You (feat. Phil Good) (lyrics),/watch?v=FkFnt5yYkZU,192479,MrSuicideSheep,12400000,2か月前,331028,58
SLUMB - Over And Done,/watch?v=58DLecXGmXI,175851,MrSuicideSheep,12400000,2か月前,331028,53
Wingtip - Strangers (lyrics),/watch?v=nsMM7CcoUmo,206238,MrSuicideSheep,12400000,2か月前,331028,62
MALO - Mimo’s Theme,/watch?v=0eAh37vhkNA,204376,MrSuicideSheep,12400000,2か月前,331028,62
Stonefox - White Caps,/watch?v=nKKNUGG-mbo,681502,MrSuicideSheep,12400000,2か月前,331028,206
Steam Phunk - Sophie (feat. Yosie),/watch?v=eU19psz3YBI,620024,MrSuicideSheep,12400000,2か月前,331028,187
Curator Blackout - #BlackLivesMatter,/watch?v=xrQ32qsvMQk,107645,MrSuicideSheep,12400000,2か月前,331028,33
RUNN - Better,/watch?v=vPWUQkxevMo,299039,MrSuicideSheep,12400000,2か月前,331028,90
Leaving Laurel - sometimes it's scary but it's still just you and me,/watch?v=AKsDnhKCEqs,171165,MrSuicideSheep,12400000,2か月前,331028,52
Khamsin - Over,/watch?v=tEV5vbb45DQ,172340,MrSuicideSheep,12400000,2か月前,331028,52
