title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Ranking the TOP 5 BEST Soul Society Arc Fights | Bleach Ranking,/watch?v=SLHvzDIeXcY,2772,MrTommo2304,2100,4時間前,4905,57
BURN THE WITCH Manga Chapter 1 REVIEW - A Whole New Gotei | Bleach Spin-off DISCUSSION,/watch?v=VmReueIM-m4,19591,MrTommo2304,2100,3日前,4905,399
The Fate of SZAYELAPORRO and AARONIERO - Espada in HELL | Bleach DISCUSSION,/watch?v=r0UCa1BGeEY,24421,MrTommo2304,2100,1週間前,4905,498
"THE VIZARDS: Their Role in the Final Arc, EXPLAINED | Bleach DISCUSSION",/watch?v=IM4yNAdOMYo,23666,MrTommo2304,2100,1週間前,4905,482
RUKIA KUCHIKI vs AS NODT - Bleach Battle ANALYSIS | Stepping Out of Her Brother's Shadow,/watch?v=fkgpamkWaRk,23845,MrTommo2304,2100,2週間前,4905,486
Did Ichigo NEED to Use The Final Getsuga Tenshou to Defeat Aizen? | Bleach DISCUSSION,/watch?v=_EDawFhukOM,91260,MrTommo2304,2100,2週間前,4905,1861
YORUICHI SHIHOIN - Bleach Character ANALYSIS | The Goddess of Flash,/watch?v=ubZptx1x7y8,30994,MrTommo2304,2100,3週間前,4905,632
"THE ZERO DIVISION - The Good, The Bad, and The Extremely Disappointing | Bleach DISCUSSION",/watch?v=aY_LeCn4mMA,65583,MrTommo2304,2100,3週間前,4905,1337
"3000 ORBS for Sternritters URYU, HASCHWALTH & BAZZ-B! TYBW ROUND 10 SUMMONS | Bleach Brave Souls",/watch?v=D8sWU4AGeKo,8207,MrTommo2304,2100,3週間前,4905,167
"URYU, HASCHWALTH & BAZZ-B REVEAL LIVE REACTION | Bleach Brave Souls",/watch?v=Ucoaf-b9dTY,10151,MrTommo2304,2100,4週間前,4905,207
Ranking My TOP 10 FAVOURITE Bleach Characters | Thanks for 10k SUBS!,/watch?v=4_VIFAguAxQ,27318,MrTommo2304,2100,1か月前,4905,557
