title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【遠坂ユラ×星乃めあ】Realize / 鈴木このみ【Re:ゼロから始める異世界生活】歌ってみたコラボ / オリジナルMV,/watch?v=S8NcS0XwXQM,1591,Palette Project Channel,18600,6時間前,1051,151
【CM撮影！！】REGALILIAのパレプロEX レガギマ #5【LIVE 8/27】【バーチャルアイドル】,/watch?v=bUzcVvkFbk4,616,Palette Project Channel,18600,7時間前,1051,59
20時だョ！全員集合パレプロEX！【LIVE 8/25】【バーチャルアイドル】,/watch?v=UpD3IpNI8Z4,785,Palette Project Channel,18600,2日前,1051,75
【自己紹介！？】Altimate!!のパレプロEX　Altimate!!に夢中 #4【LIVE 8/24】【バーチャルアイドル】,/watch?v=Hl9jyF0hE7s,836,Palette Project Channel,18600,3日前,1051,80
【生歌＆ダンス】新曲お披露目ライブ！【Altimate!!】【Vtuber】,/watch?v=5ah8VR_y6TU,2134,Palette Project Channel,18600,5日前,1051,203
【自己紹介！！】SputripのパレプロEX  #4【LIVE 8/21】【パレプロEX】,/watch?v=N9d8Yz7Vj-c,965,Palette Project Channel,18600,6日前,1051,92
【自己紹介！？】REGALILIAのパレプロEX レガギマ #4【LIVE 8/20】【バーチャルアイドル】,/watch?v=L1R9N8Vym7k,846,Palette Project Channel,18600,1週間前,1051,80
【重大発表！】20時だョ！全員集合パレプロEX！【LIVE 8/18】【バーチャルアイドル】,/watch?v=2vXDW5IwfnE,1466,Palette Project Channel,18600,1週間前,1051,139
【水着回！】Altimate!!のパレプロEX　Altimate!!に夢中～ #3【LIVE 8/17】【バーチャルアイドル】,/watch?v=ThVfQuKqQLY,1656,Palette Project Channel,18600,1週間前,1051,158
【水着回！】SputripのパレプロEX  #3【LIVE 8/14】【パレプロEX】,/watch?v=dSe5LBhtvqA,1608,Palette Project Channel,18600,1週間前,1051,153
【水着回！】REGALILIAのパレプロEX レガギマ #3【LIVE 8/13】【バーチャルアイドル】,/watch?v=LGV9B6VGgL8,1859,Palette Project Channel,18600,2週間前,1051,177
【LIVE 8/11】20時だョ！全員集合パレプロEX！【バーチャルアイドル】,/watch?v=uqYL6UV7oBs,1344,Palette Project Channel,18600,2週間前,1051,128
Altimate!!のパレプロEX　Altimate!!に夢中～ #2【LIVE 8/10】【バーチャルアイドル】,/watch?v=rGnIcAUShzI,1001,Palette Project Channel,18600,2週間前,1051,95
に♡こ♡い♡ち  #2【LIVE 8/7】【パレプロEX】,/watch?v=3bKfm4Ovw-8,806,Palette Project Channel,18600,2週間前,1051,77
REGALILIAのパレプロEX レガギマ #2【LIVE 8/6】【バーチャルアイドル】,/watch?v=wSFCIsauSNA,1035,Palette Project Channel,18600,3週間前,1051,98
鬼多見アユムの自己紹介まとめ【パレプロEX】,/watch?v=zIN8gRJTMR4,723,Palette Project Channel,18600,3週間前,1051,69
【LIVE 8/4】20時だョ！全員集合パレプロEX！【バーチャルアイドル】,/watch?v=TFEjkcFGHy0,833,Palette Project Channel,18600,3週間前,1051,79
Altimate!!のパレプロEX　Altimate!!に夢中～ #1【LIVE 8/3】【バーチャルアイドル】,/watch?v=amgGFDlppHU,842,Palette Project Channel,18600,3週間前,1051,80
に♡こ♡い♡ち  ＃１【LIVE 7/30】【パレプロEX】,/watch?v=LgShdLO07d4,812,Palette Project Channel,18600,4週間前,1051,77
