title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
WHITE TIGER EXTREME CHALLENGE PART 7 - Bleach: Immortal Soul Gameplay,/watch?v=PRpxVJEw5jE,75,RPGamerMobil,175,,316,24
AZURE DRAGON PART 8 & VERMILLION BIRD EXTREME CHALLENGE PART 10 - Bleach: Immortal Soul Gameplay,/watch?v=LB9pL2KogFE,103,RPGamerMobil,175,,316,33
EXTREME CHALLENGE PART 35 - Bleach: Immortal Soul Gameplay,/watch?v=Ss2rS7Ke2NU,298,RPGamerMobil,175,,316,94
BLACK TORTOISE EXTREME CHALLENGE PART 5 - Bleach: Immortal Soul Gameplay,/watch?v=gxdTyT4XOyI,141,RPGamerMobil,175,,316,45
NNOITRA GILGA (RESURECCION)!!! - Bleach: Immortal Soul Gameplay - VERMILLION BIRD EXTREME PART 9,/watch?v=fLbECyilpNM,225,RPGamerMobil,175,,316,71
30+ NNOITRA SUMMONS!!! - Bleach: Immortal Soul Gameplay - EXTREME CHALLENGE PART 34 (6 ZANGETSU),/watch?v=1cJWi1ySiBA,288,RPGamerMobil,175,,316,91
60+ GACHA SUMMONS & AZURE DRAGON EXTREME CHALLENGE PART 7 - Bleach: Immortal Soul Gameplay,/watch?v=2WmvKQDfhuk,213,RPGamerMobil,175,,316,67
MASTERING HOLLOWFICATION (Stage 19) VISORED TRAINING PART 2!!! - Bleach: Immortal Soul Gameplay,/watch?v=JVXKA8JIeN4,1855,RPGamerMobil,175,,316,587
VISORED TRAINING (Stage 19) PART 1!!! - Bleach: Immortal Soul Gameplay - 30+ GACHA SUMMONS,/watch?v=PfPZsJCppdM,236,RPGamerMobil,175,,316,75
NNOITORA GILGA!!! - Bleach: Immortal Soul Gameplay - EXTREME CHALLENGE PART 33,/watch?v=AQhIu8N_A-Y,344,RPGamerMobil,175,,316,109
WHITE TIGER EXTREME CHALLENGE PART 6 - Bleach: Immortal Soul Gameplay,/watch?v=l-d-oTwn4t4,194,RPGamerMobil,175,,316,61
AZURE DRAGON PART 6 & VERMILLION BIRD PART 8 EXTREME CHALLENGE - Bleach: Immortal Soul Gameplay,/watch?v=t2xfMm6CUsU,100,RPGamerMobil,175,,316,32
Bleach: Immortal Soul Gameplay - BLACK TORTOISE EXTREME CHALLENGE PART 4,/watch?v=MbypZ2jDcWE,153,RPGamerMobil,175,,316,48
100+ NELL SUMMONS & 4-STAR PROMOTION - Bleach: Immortal Soul Gameplay - VERMILLION BIRD EXTREME PT 7,/watch?v=cKlDR-dw1cE,181,RPGamerMobil,175,,316,57
"15,000+ SOUL JADE NELLIEL SUMMONS!!! - Bleach: Immortal Soul Gameplay - WHITE TIGER EXTREME PART 5",/watch?v=olpnvwI6wc0,318,RPGamerMobil,175,,316,101
UR NELLIEL UPGRADE & ENHANCEMENT!!! - Bleach: Immortal Soul Gameplay - EXTREME CHALLENGE PART 32,/watch?v=o7Hk8hyBpJc,584,RPGamerMobil,175,,316,185
4 STAR KENPACHI PROMOTION - Bleach: Immortal Soul Gameplay - EXTREME CHALLENGE PART 31,/watch?v=16RT--76ufc,202,RPGamerMobil,175,,316,64
GRIMMJOW'S INVASION PART 4!!! - Bleach: Immortal Soul Gameplay Ep. 30,/watch?v=TtYy_9O3tmo,263,RPGamerMobil,175,,316,83
GRIMMJOW'S INVASION PART 3!!! - Bleach: Immortal Soul Gameplay Ep. 29,/watch?v=3TXF1UrM1RE,236,RPGamerMobil,175,,316,75
Bleach: Immortal Soul Gameplay - WHITE TIGER EXTREME CHALLENGE PART 4,/watch?v=2xR3NlKbVRE,234,RPGamerMobil,175,,316,74
Bleach: Immortal Soul Gameplay - AZURE DRAGON PART 4 & VERMILLION BIRD PART 6 EXTREME CHALLENGE,/watch?v=ds-I3O5psy0,151,RPGamerMobil,175,,316,48
Bleach: Immortal Soul Gameplay - EXTREME CHALLENGE PART 30,/watch?v=ecVp54iuX90,156,RPGamerMobil,175,,316,49
30+ SOUL JADE SUMMON 1.0 - Bleach: Immortal Soul Gameplay - BLACK TORTOISE EXTREME CHALLENGE PART 3,/watch?v=oGR0cfVQlyo,290,RPGamerMobil,175,,316,92
100+ TOSHIRO/ULQUIORRA SUMMONS - Bleach: Immortal Soul Gameplay - VERMILLION BIRD EXTREME PART 5,/watch?v=_5uXaKi7_wI,1226,RPGamerMobil,175,,316,388
GRIMMJOW'S INVASION PART 2!!! - Bleach: Immortal Soul Gameplay Ep. 28,/watch?v=PxsmXjy0V24,230,RPGamerMobil,175,,316,73
70+ GACHA SUMMONS - Bleach: Immortal Soul Gameplay - WHITE TIGER EXTREME CHALLENGE PART 3,/watch?v=2kv0Nm50sN8,282,RPGamerMobil,175,,316,89
30+ GACHA SUMMONS - Bleach: Immortal Soul Gameplay - EXTREME CHALLENGE PART 29,/watch?v=575lNHcEwkI,244,RPGamerMobil,175,,316,77
