title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
DE LOS PEORES CON SU NOMBRE QUE TIENE EL JUEGO | BLEACH Brave Souls Español,/watch?v=m5BxNrg64Nk,759,Ryuji Black,6890,3時間前,1066,71
LOS 10 MULTISUMMONS SEASONAL GRATUITOS - 5TO ANIVERSARIO | BLEACH Brave Souls Español,/watch?v=vpNu-yYnx5M,905,Ryuji Black,6890,1日前,1066,85
"¡A LANZAR! - VUELVEN OPPAIHIME Y EL ICHIBEI, ORBES PARA ELLOS | BLEACH Brave Souls Español",/watch?v=osoYHunsXNQ,1429,Ryuji Black,6890,2日前,1066,134
YA LLEGARON LAS WAIFUS - VERANO 2020 PARTE 2 | Fate Grand Order Español,/watch?v=dWYMudJ5I0M,2002,Ryuji Black,6890,3日前,1066,188
"POR FIN ""BURN THE WITCH"" Y PRÓXIMAMENTE COLABORACIÓN | BLEACH Brave Souls Español",/watch?v=FX9QReG_quM,2207,Ryuji Black,6890,4日前,1066,207
ESTE ES EL BANNER DE FIN DE MES ¿? - HISAGI BANKAI | BLEACH Brave Souls Español,/watch?v=XoeIjKt4wqc,1920,Ryuji Black,6890,5日前,1066,180
SUMMONS EPIQUISIMOS A VARIOS BANNERS | Fate Grand Order Español,/watch?v=Ac-ohFWXKV4,2475,Ryuji Black,6890,5日前,1066,232
ULTIMA OPORTUNIDAD PARA EL INVENCIBLE - 5TO ANIVERSARIO | BLEACH Brave Souls Español,/watch?v=kD-Ken7sA98,1539,Ryuji Black,6890,1週間前,1066,144
FATE GRAND ORDER CIERRA EN QOOAPP - SOLUCIONES Y CONSECUENCIAS | Fate Grand Order Español,/watch?v=Ba7toVD5oZA,6329,Ryuji Black,6890,1週間前,1066,594
NOVEDADES - ¡POR FIN DISPONIBLE EN STEAM! | BLEACH Brave Souls Español,/watch?v=qKDhYMgUpTs,1133,Ryuji Black,6890,1週間前,1066,106
LANZANDO SUMMONS AL VERANO 2020 ¿HABRA KIARA? | Fate Grand Order Español,/watch?v=JuMn7VGvIys,3111,Ryuji Black,6890,1週間前,1066,292
HYPE 100% - 5TO ANIVERSARIO CONTINUA CON EXCLUSIVOS GRATIS | BLEACH Brave Souls Español,/watch?v=RaM4u16_WgQ,1742,Ryuji Black,6890,1週間前,1066,163
"Servant Summer Camp - ""Chaldea Thriller Night"" Trailer | Fate Grand Order Español",/watch?v=pWGKZ-zbEPQ,2466,Ryuji Black,6890,1週間前,1066,231
"POR FIN - REVELADAS TODAS LAS ""WAIFUS VERANO 2020"" | Fate Grand Order Español",/watch?v=eNLdDZgYeJE,4387,Ryuji Black,6890,1週間前,1066,412
¡ESTO ES GENIAL! - MAS PERSONAJES PREMIUM (Muy bien KLAB) | BLEACH Brave Souls Español,/watch?v=0DNuBrPxZBY,1546,Ryuji Black,6890,2週間前,1066,145
SERVANT DE 5* y 4* GARANTIZADO ¿SUMMON DE PAGO ÉPICO? | Fate Grand Order Español,/watch?v=ObtwdBe_gTo,3613,Ryuji Black,6890,2週間前,1066,339
PERSONAJE 5* GARANTIZADO PARA EL ULTIMO DÍA | KOF ALL STAR Español,/watch?v=TbILLpGOxKs,709,Ryuji Black,6890,2週間前,1066,67
¡QUE ESTA PASANDO CON LAS NEMU! - 5TO ANIVERSARIO | BLEACH Brave Souls Español,/watch?v=42IXO_ND5a4,1420,Ryuji Black,6890,2週間前,1066,133
LANZANDO SUMMONS A LA ARTORIA CASTER (Sub. Haruka77) | Fate Grand Order Español,/watch?v=a9rPwqvEeFc,3360,Ryuji Black,6890,2週間前,1066,315
NUEVO JUEGO DE FGO Y ES DE RITMO - 5TO ANIVERSARIO | Fate Grand Order Español,/watch?v=9E9rkLs3Gco,2527,Ryuji Black,6890,2週間前,1066,237
"COLABORACIÓN CON ""BURN THE WITCH"" ¿PARA CUANDO? | BLEACH Brave Souls Español",/watch?v=r2B1hVY2G7U,1590,Ryuji Black,6890,2週間前,1066,149
HA LLEGADO TODO EL 5TO ANIVERSARIO Y EL VERANO 2020 | Fate Grand Order Español,/watch?v=as915cShdZo,3648,Ryuji Black,6890,2週間前,1066,342
ESTAMOS EN EL 5TO ANIVERSARIO - DIRECTO,/watch?v=oCgJnV7y0CY,4638,Ryuji Black,6890,2週間前,1066,435
"¡QUE ES ESTO!, HAN REVENTADO A MUSASHI - ¿MEMORIAL QUEST ÉPICA? | Fate Grand Order Español",/watch?v=-PS01Q_zdCk,3304,Ryuji Black,6890,2週間前,1066,310
LAS CE DE 5TO ANIVERSARIO ANTES DE LA CELEBRACIÓN | Fate Grand Order Español,/watch?v=60Qnw9Z729Y,1407,Ryuji Black,6890,2週間前,1066,132
DIRECTO - FARMEANDO COLLAB PARA GINTAMA SUMMON,/watch?v=yLgXioA7eq0,460,Ryuji Black,6890,2週間前,1066,43
MAS INFORMACIÓN Y PERSONAJES - ESTA MUY CERCANO | Kimetsu no Yaiba Kengeki Royale Español,/watch?v=bzQPFC5Q_30,1318,Ryuji Black,6890,2週間前,1066,124
Las RANK UP tienen pinta de ÉPICAS - LE TOCA A WAIFU RAIKOU | Fate Grand Order Español,/watch?v=8Bzm8fhI6_4,1537,Ryuji Black,6890,2週間前,1066,144
MAS NOTICIAS Y LOS ÚLTIMOS SUMMONS A LOS QUINCY | BLEACH Brave Souls Español,/watch?v=GV-cp5MCBds,1950,Ryuji Black,6890,3週間前,1066,183
DIRECTO - POR LOS 6000 SUBS DE UNA SEMANA ATRAS | Fate Grand Order Español,/watch?v=20BL43xDNXQ,1617,Ryuji Black,6890,3週間前,1066,152
EL 5TO ANIVERSARIO HA COMENZADO (1ra Parte) | Fate Grand Order Español,/watch?v=iG8NlPKcRak,3570,Ryuji Black,6890,3週間前,1066,335
LANZANDO MUCHÍSIMOS TICKETS y ELIGE UN 6* | BLEACH Brave Souls Español,/watch?v=glRbo3vdmio,1983,Ryuji Black,6890,3週間前,1066,186
"¿MAÑANA NOTICIAS CON HYPE? - HASTA NUNCA ""KAMA"" | Fate Grand Order Español",/watch?v=DFD2l_jqg5Q,2084,Ryuji Black,6890,3週間前,1066,195
¡SE PASARON CON PERSONAJE ROTISIMO! (es F2P) CON NUEVA SENKAIMON | BLEACH Brave Souls Español,/watch?v=dg2wTRVtKBM,2027,Ryuji Black,6890,3週間前,1066,190
Esta HERMOSA NELLIEL me hizo volver (por ahora) | BLEACH Immortal Soul Español,/watch?v=1vIX17zklq0,2138,Ryuji Black,6890,3週間前,1066,201
