title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
【GACKTさん】GACKTさん御本人の前で歌ったLastSongを愛を込めて一発録りしてみた,/watch?v=4hKcc_m80P4,90269,SHIN LOID,80900,3週間前,182932,49
仮面ライダーナイト×仮面ライダーオタクの本気の龍騎トーク,/watch?v=L-hDvU7q7dA,124347,SHIN LOID,80900,1か月前,182932,68
【松田悟志さん】仮面ライダーナイトと歌う仮面ライダー龍騎op/Alive A life【SHIN】,/watch?v=-lvDQ94VFJE,346099,SHIN LOID,80900,1か月前,182932,189
【テレビ東京THEカラオケバトル決勝歌唱曲】雪の華/中島美嘉,/watch?v=91QlTs0xzqA,168462,SHIN LOID,80900,1か月前,182932,92
【アニメBLEACH OP】BLUE/ViViD,/watch?v=ZabAuh0MzW0,351556,SHIN LOID,80900,1か月前,182932,192
SixTONES/Imitation Rain cover,/watch?v=2i1-PoSEMxE,140243,SHIN LOID,80900,2か月前,182932,77
BTS/FAKE LOVE  バンドアレンジカバー,/watch?v=c2S9aybWknQ,68399,SHIN LOID,80900,3か月前,182932,37
眠り姫/Acid Black  Cherry  -covered by SHINLOID-,/watch?v=PMFX0hscGAs,79283,SHIN LOID,80900,3か月前,182932,43
Pieces / L'Arc-en-Ciel,/watch?v=IU0QQrkx2VU,105540,SHIN LOID,80900,3か月前,182932,58
Acid Black Cherry/愛してない-アコースティックver-,/watch?v=eIoPlTLNKNg,114636,SHIN LOID,80900,4か月前,182932,63
全力コスプレ紅蓮華/LISA,/watch?v=ZXwTED3V7as,80887,SHIN LOID,80900,4か月前,182932,44
Pretender/伝説の歌い手うみくん×ボーカリスト,/watch?v=2pIEsimUqPA,112765,SHIN LOID,80900,4か月前,182932,62
SHINのライブはこんな感じだから良かったら見てその2,/watch?v=Ams7vqyMyDk,34777,SHIN LOID,80900,5か月前,182932,19
king gnu/井口さんに負けないハイトーンボーカリストが歌う「白日」,/watch?v=C4_l_hNdH-g,147140,SHIN LOID,80900,5か月前,182932,80
勝手に作ったえんとつ町のプペルの歌,/watch?v=3UN8Tix2UZw,25876,SHIN LOID,80900,5か月前,182932,14
【神回】SHINと鬼龍院翔さんが歌うGACKTさん【オレンジの太陽】,/watch?v=aI5Ks-HMeII,107189,SHIN LOID,80900,5か月前,182932,59
【検証】プロが街中で突然歌い出したら人は足を止めるのか？,/watch?v=K-t98zXrF4c,280306,SHIN LOID,80900,6か月前,182932,153
【ドラマ恋は続くよどこまでも主題歌】100秒後にPretenderになるI LOVE【Official髭男dism】,/watch?v=MzX2wy9mMlA,90215,SHIN LOID,80900,6か月前,182932,49
【アフタートーク】コスプレから同じ事務所になってついにコラボしちゃった話【将×SHIN】,/watch?v=etmqpSVen9E,50227,SHIN LOID,80900,7か月前,182932,27
【神回】ついにご本人がやってきた！！SHINと将が歌うアリス九號【Velvet】,/watch?v=FukwIwtmqE8,319189,SHIN LOID,80900,7か月前,182932,174
【映画】「えんとつ町のプペル」歌 西野亮廣 【SHIN's COVER】,/watch?v=M72b5uCCHA8,53681,SHIN LOID,80900,7か月前,182932,29
