title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
HOW I SPENT MY SUNDAY | WORKING SUNDAY | LIFE OF A BLOGGER | SABA IBRAHIM | SABA KA JAHAAN,/watch?v=M0rLehDcbrc,489051,Saba Ibrah,72700,,1816601,27
WE GOT OUR SILVER PLAY BUTTON | THANK YOU ALL VIEWERS | SABA KA JAHAAN | IBRAHIM FAMILY | UNBOXING,/watch?v=FEslI2vzmS8,974458,Saba Ibrah,72700,,1816601,54
UNBOXING MY FAVOURITE THING | SABA IBRAHIM | DIPIKA KAKAR IBRAHIM | SHOAIB IBRAHIM | HAPPINESS,/watch?v=JVJO6NArg6k,1163463,Saba Ibrah,72700,,1816601,64
ALL ABOUT BHABHI’S BIRTHDAY | WE MADE BIRYANI FOR HER | I GOT SILVER BUTTON | BIRTHDAY CELEBRATION,/watch?v=yyWU4kUWwKo,1805743,Saba Ibrah,72700,,1816601,99
BREAKFAST ROUTINE | HEALTHY BREAKFAST RECIPE | PCOS BREAKFAST | MORNING ROUTINE | SABA IBRAHIM,/watch?v=h5LEbPxBu58,621770,Saba Ibrah,72700,,1816601,34
EID VLOG | EID AL ADHA 2020 | IBRAHIM FAMILY | LOVE |,/watch?v=TDPo1zy2LtY,2302911,Saba Ibrah,72700,,1816601,127
RAKSHABANDHAN SPECIAL | GOT A SPECIAL GIFT | AMMI’S MESSAGE FOR EVERYONE | IBRAHIM FAMILY,/watch?v=YfMD6w1pz-w,1500482,Saba Ibrah,72700,,1816601,83
CHAND RAAT | EID PREPARATION,/watch?v=v1LjTmemvWk,2346513,Saba Ibrah,72700,,1816601,129
HIJAB TUTORIAL USING DUPATTA | INNER CAP TUTORIAL | HIJAB STYLE FOR EARRINGS | EID SPECIAL,/watch?v=aGFXi1QePjQ,308068,Saba Ibrah,72700,,1816601,17
WE DECORATED OUR ROOM | DIY WALL | BACKDROP IDEAS | WALLPAPER | LIFE OF A BLOGGER | SABA IBRAHIM |,/watch?v=qa2GwUXFolU,1216290,Saba Ibrah,72700,,1816601,67
CELEBRATION TIME | 200 K FOLLOWERS ON INSTAGRAM | MY FAMILY MY MOTIVATION | SABA KA JAHAAN,/watch?v=uQ2tFORJDbk,1108954,Saba Ibrah,72700,,1816601,61
MY MAKEUP REMOVAL ROUTINE | HOW I REMOVE MY MAKEUP | SKIN CARE | SKINCARE TIPS | SABA IBRAHIM,/watch?v=AtDFQd7CyxA,253474,Saba Ibrah,72700,,1816601,14
WE WENT OUT AFTER MONTHS | NEW NORMAL | MUMBAI | SABA IBRAHIM | DIPIKA KAKAR IBRAHIM,/watch?v=s4qbkpkA1iI,2086658,Saba Ibrah,72700,,1816601,115
GET RID OF ACNE AND OPEN PORES | TIPS FOR ACNE PRONE SKIN | OILY SKIN  |SABA IBRAHIM,/watch?v=vT3fUm10FIw,220325,Saba Ibrah,72700,,1816601,12
HOW I CURED MY PCOS | NO MORE IRREGULAR PERIODS |NO MORE MEDICINES | PCOS WEIGHT GAIN | SABA IBRAHIM,/watch?v=631iGx_akcA,818493,Saba Ibrah,72700,,1816601,45
REHAN’S BIRTHDAY PARTY | BIRTHDAY CAKE | BHABHI’S BIRTHDAY PLANNING | IBRAHIM FAMILY,/watch?v=o5rPFSwuew4,2501201,Saba Ibrah,72700,,1816601,138
MY FAVOURITE HIJAB STYLE | HOW I WEAR MY HIJAB | INNER CAP | INNER SCARF TUTORIAL | QUICK AND EASY,/watch?v=bA1j3q0Q5wo,345770,Saba Ibrah,72700,,1816601,19
ALL ABOUT FACIAL BLEACH | HOW I BLEACH MY FACE AT HOME | FACIAL BLEACH | DOS & DON’TS | SABA IBRAHIM,/watch?v=nYgVEZZm0pw,338602,Saba Ibrah,72700,,1816601,19
IS VLOG KO KYA NAAM DU? | SHOAIB IBRAHIM | DIPIKA KAKAR IBRAHIM | SABA IBRAHIM,/watch?v=PpSEguGDPYU,2015021,Saba Ibrah,72700,,1816601,111
BHAI KA BIRTHDAY | SHOAIB IBRAHIM BIRTHDAY CELEBRATION | FAMILY AND FRIENDS,/watch?v=jCPcZUifbkc,5314652,Saba Ibrah,72700,,1816601,293
SHOAIKA SE SAWAL | EPISODE 1 | Q & A | SHOAIB IBRAHIM | DIPIKA KAKAR IBRAHIM | SHOAIKA,/watch?v=_9UZn6ZBwdo,2638999,Saba Ibrah,72700,,1816601,145
LIP AND CHEEK TINT AT HOME | HOW TO MAKE LIP TINT | DIY LIP TINT | NATURAL LIP STAIN | SABA IBRAHIM,/watch?v=6BX2jO7-baY,649358,Saba Ibrah,72700,,1816601,36
SHOAIB BHAI UNBOXING HIS BOSU BALL | GYM EQUIPMENT | WORKOUT IN LOCKDOWN |SHOAIB IBRAHIM | WORKOUT,/watch?v=Gkkk1UJn09o,710480,Saba Ibrah,72700,,1816601,39
BAS AB BAHUT HUA | SELF MOTIVATION | HEALTHY BREAKFAST RECIPE | WEIGHT LOSS TIPS | SABA IBRAHIM,/watch?v=p2Vggd8zchI,844043,Saba Ibrah,72700,,1816601,46
