title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
"Ellen Asks, 'Should We Have Shown You This or Not?'",/watch?v=VIDs_nuLZtI,71089,TheEllenShow,37600000,1日前,1864328,4
Great Athletes from Coast to Coast,/watch?v=XSZIg0KN9vw,45040,TheEllenShow,37600000,3日前,1864328,2
Boost Your Mood with These Cute Dogs and Babies Videos!,/watch?v=SnkHP5aI0MM,66215,TheEllenShow,37600000,6日前,1864328,4
Ellen's Writer Alison Confronts Her Snake Fears,/watch?v=CLy-EDlcfdU,73706,TheEllenShow,37600000,6日前,1864328,4
Ellen's Tips If You Hate Going to the Dentist,/watch?v=czEtlLU5yns,134751,TheEllenShow,37600000,1週間前,1864328,7
Scientific Proof Dogs Love Us,/watch?v=cqnDNHpxSHI,88791,TheEllenShow,37600000,1週間前,1864328,5
Can You Guess if These Reality Shows Are Real or Fake?,/watch?v=fsXC0bMv-1k,141113,TheEllenShow,37600000,1週間前,1864328,8
tWitch Shares Priceless Dance Fails,/watch?v=2EHPtF9PODg,138615,TheEllenShow,37600000,2週間前,1864328,7
Why Women Live Longer Than Men... Explained in One Meme,/watch?v=cZZMglTPP9A,367266,TheEllenShow,37600000,2週間前,1864328,20
Great Sports Fans from Around the World,/watch?v=4NdXxu59XkE,120665,TheEllenShow,37600000,2週間前,1864328,6
"'Come On, Dammit!' with These Too-Cute Animal Videos",/watch?v=uUVmJGsBVqY,86626,TheEllenShow,37600000,3週間前,1864328,5
The ‘Working on a Holiday’ Feels on 'Me Me Monday',/watch?v=Yh8fiPBQLqg,96589,TheEllenShow,37600000,3週間前,1864328,5
'Morgan Freeman' Comments on Audience Dancers,/watch?v=9184uYYNNaU,185284,TheEllenShow,37600000,4週間前,1864328,10
Audience Reactions You’d Never Expect,/watch?v=9Rk4njghZNc,233536,TheEllenShow,37600000,4週間前,1864328,13
Debunking the Most Common Stereotype About Cats,/watch?v=5wqt4s6JVdE,101354,TheEllenShow,37600000,4週間前,1864328,5
"Kissing, Crying, and Fights on ‘Bachelor in Paradise’",/watch?v=bItVkK39oZM,309433,TheEllenShow,37600000,1か月前,1864328,17
Joey King Sings Eminem in Operatic Voice,/watch?v=JCv5DjDxfe4,143089,TheEllenShow,37600000,1か月前,1864328,8
The Hallmark Channel’s New Movie Lineup,/watch?v=dHcWP6XpuBs,70974,TheEllenShow,37600000,1か月前,1864328,4
