title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Vegeta Finally Surpasses Goku,/watch?v=14Y5Yt0P1o4,1379127,Tokyosauru,51100,,173173,796
Demon Slayer Ending Explained,/watch?v=zbmaubirvvs,314993,Tokyosauru,51100,,173173,182
Demon Slayer REVEALS Timeskip and Possible COUPLES,/watch?v=dgGrgytJh3c,73869,Tokyosauru,51100,,173173,43
The Moment Endeavor Truly Becomes #1 EXPLAINED (My Hero Academia S4),/watch?v=ypf6tkFSbFM,124553,Tokyosauru,51100,,173173,72
Bleach Anime(s) 2020 EXPLAINED,/watch?v=yjcPHOHy3d4,545257,Tokyosauru,51100,,173173,315
Re:Zero Author REVEALS NEW SERIES,/watch?v=ClVQpEm95R8,79499,Tokyosauru,51100,,173173,46
2020 Ash REVEALED,/watch?v=l9FhGOT5ptA,254102,Tokyosauru,51100,,173173,147
Boruto's New Form EXPLAINED,/watch?v=X_x4YK8C2II,223619,Tokyosauru,51100,,173173,129
New Kira VS OG Kira (Death Note Sequel),/watch?v=XR7U0rx_-XM,248450,Tokyosauru,51100,,173173,143
Is THIS the NEXT One-Punch Man?,/watch?v=zwAmYU7JwV4,372588,Tokyosauru,51100,,173173,215
Asuna Vs Alice EXPLAINED DEEPLY (SAO Alicization),/watch?v=QOjgAh3rrdY,126922,Tokyosauru,51100,,173173,73
Demon Slayer BEATS One Piece?,/watch?v=SlKB2JBeQEk,142940,Tokyosauru,51100,,173173,83
Pokemon's Official New Look Revealed (2019),/watch?v=glDFwT6m5S8,244202,Tokyosauru,51100,,173173,141
NEW 2019 Pokemon Series EXPLAINED,/watch?v=b7wry9MFg_A,641752,Tokyosauru,51100,,173173,371
Ash's New Look REVEALED (2019),/watch?v=0ax3mMPbH6U,414259,Tokyosauru,51100,,173173,239
Boruto REVEALS Naruto's Fate (Timeskip),/watch?v=mHMq8bM9uMw,1084582,Tokyosauru,51100,,173173,626
How Ash Won Alola Pokemon League,/watch?v=mNlGf3VsLa4,758899,Tokyosauru,51100,,173173,438
Ash Wins Pokemon League Leaked?,/watch?v=2vmZkQW9vcQ,165438,Tokyosauru,51100,,173173,96
Ash is LEAVING the Pokemon Anime?,/watch?v=VP4-3UB-5Mg,1152110,Tokyosauru,51100,,173173,665
5 Hypest 2019 Fall Anime,/watch?v=DKYjQbt5FCw,253001,Tokyosauru,51100,,173173,146
How Kimetsu No Yaiba Made EVERYONE Cry,/watch?v=PydIGgBtY74,348651,Tokyosauru,51100,,173173,201
Ash loses Alola Pokemon league oh wait,/watch?v=V0gsJyiypy8,1510886,Tokyosauru,51100,,173173,872
This Chinese Anime Surpassed Ghibli?,/watch?v=5R4qzp68YYE,168882,Tokyosauru,51100,,173173,98
JoJo's Part 5 Ending's True Meaning (Golden Wind),/watch?v=MaZnq9RvIxU,1117040,Tokyosauru,51100,,173173,645
Konohamaru Meets Future Wife in Boruto?,/watch?v=Yilg2RflM5M,231251,Tokyosauru,51100,,173173,134
Ash will WIN Alola Pokemon League?,/watch?v=gsUWM6e6l_c,407103,Tokyosauru,51100,,173173,235
Nintendo Switch Lite VS ORIGINAL Nintendo Switch,/watch?v=hAFNOCN5log,178348,Tokyosauru,51100,,173173,103
Pokemon Mewtwo Strikes Back Evolution VS ORIGINAL,/watch?v=fYamn-DcBlg,193454,Tokyosauru,51100,,173173,112
How much Haikyuu Characters have Grown (Season 4),/watch?v=zemVrcPbP3E,993768,Tokyosauru,51100,,173173,574
POKEDEX FIASCO EXPLAINED (Pokemon Sword and Shield),/watch?v=Adt3SYNgeVk,302049,Tokyosauru,51100,,173173,174
DYNAMAX Pokemon EXPLAINED (Sword and Shield),/watch?v=jAGET-ydJMI,74804,Tokyosauru,51100,,173173,43
How Attack on Titan Just Made Everyone Cry,/watch?v=EB9bbAsROG4,202141,Tokyosauru,51100,,173173,117
Aerith's New Design FIASCO EXPLAINED (Final Fantasy 7 Remake),/watch?v=hIUJlP2ExlY,463978,Tokyosauru,51100,,173173,268
How Detective Pikachu Sounds in Japanese,/watch?v=l45Z4WsibnU,110335,Tokyosauru,51100,,173173,64
Next BIG Basketball Anime is Coming,/watch?v=V41WuoNLNiE,860851,Tokyosauru,51100,,173173,497
New Death Note is Coming (2019),/watch?v=XDTzI61eAQQ,625300,Tokyosauru,51100,,173173,361
Mob Psycho S2 Ending EXPLAINED,/watch?v=j7Ng49BHcbs,154084,Tokyosauru,51100,,173173,89
Pokemon Sword and Shield REVEAL EXPLAINED,/watch?v=i53zhw1r2F0,233872,Tokyosauru,51100,,173173,135
Naruto Author REVEALS NEW SERIES,/watch?v=GgPspZJAEls,961576,Tokyosauru,51100,,173173,555
Dragon Ball Censoring CONTROVERSY,/watch?v=vHx4b1n3Rys,111644,Tokyosauru,51100,,173173,64
Shinkai's 2019 Film REVEALED (Tenki no Ko),/watch?v=vvR0y56VC0M,345873,Tokyosauru,51100,,173173,200
Pokemon Reveals Red GROWN UP?,/watch?v=iHoakTke4eI,596375,Tokyosauru,51100,,173173,344
Gogeta VS Vegito - Who's Stronger REVEALED,/watch?v=bOi_gIpNsEA,860263,Tokyosauru,51100,,173173,497
Attack on Titan Author Talks ENDING,/watch?v=KD2zLNEddn4,115305,Tokyosauru,51100,,173173,67
True Death Note Sequel,/watch?v=6zMvTfuml_4,126930,Tokyosauru,51100,,173173,73
Gundam Reveals 2019 Series,/watch?v=rqUTorj2eCQ,722126,Tokyosauru,51100,,173173,417
Dragon Ball Super NEW Arc Explained,/watch?v=kbQllINqBUM,743787,Tokyosauru,51100,,173173,430
IS PIKACHU SUPPOSED TO BE FURRY?,/watch?v=ua3OzVS4lFA,135538,Tokyosauru,51100,,173173,78
Fall 2018 Anime RATED BY JAPAN,/watch?v=6dOIb6ouvuY,266132,Tokyosauru,51100,,173173,154
Strongest Ash in Pokemon RANKED,/watch?v=PrMEfFIICh8,115088,Tokyosauru,51100,,173173,66
Time Traveling Gundam Revealed,/watch?v=ZXC8t7VwSmQ,129062,Tokyosauru,51100,,173173,75
The Real JOJO Lighter Test (Golden Wind),/watch?v=puTGEq6slWI,129747,Tokyosauru,51100,,173173,75
Jiren gets NEW Origins - Dragon Ball Super,/watch?v=uL1pG7Uvz3o,171907,Tokyosauru,51100,,173173,99
Official Pokemon Response to GOROCHU,/watch?v=ymjk_XfQeCo,270372,Tokyosauru,51100,,173173,156
New Movie Broly VS Heroes Broly OUTRAGE,/watch?v=ttMF-dI2hXU,133486,Tokyosauru,51100,,173173,77
How My Hero Academia Almost Killed Eraserhead,/watch?v=eObF8QTwNc4,137360,Tokyosauru,51100,,173173,79
Pokemon Meltan Reveals NEW FORM?,/watch?v=a-T3SRUFnFE,51527,Tokyosauru,51100,,173173,30
How Pikachu Lost His Girlfriend,/watch?v=tUz-DzCbTLs,264607,Tokyosauru,51100,,173173,153
NEW Dragon Ball Super Broly Trailer EXPLAINED (Trailer 2),/watch?v=DcgL7htMyoA,323445,Tokyosauru,51100,,173173,187
Nintendo's Bowsette Revealed,/watch?v=9BTrgo9X3bw,487056,Tokyosauru,51100,,173173,281
New Pokemon Meltan Explained,/watch?v=wbuKx6Ru1BQ,108926,Tokyosauru,51100,,173173,63
Bowsette Explained,/watch?v=thDG7eNU2_Q,1490289,Tokyosauru,51100,,173173,861
