title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Jakarta / My travel story // 17Jan,/watch?v=IkJQ1ltg00w,245,Tonjk,12700,,536485,0
China Ningbo - Fighting scenes in Laowaitan 老外滩,/watch?v=249AYuA0QBE,1254,Tonjk,12700,,536485,0
Naruto - Samidare remix feat MajChiiAzN preview 2k13 -,/watch?v=G5nkB2QblOo,2129,Tonjk,12700,,536485,0
Naruto - Shippuuden - Blue Bird ( Opening 3 ) - Piano Tutorial,/watch?v=lJ7uHwPpgWU,511276,Tonjk,12700,,536485,95
Full metal alchemist brotherhood - The Full metal Alchemist OST  - Piano Tutorial,/watch?v=4pUDKtXrdBE,103689,Tonjk,12700,,536485,19
Naruto - Shippuuden - Hotaru No Hikari ( opening 5 ) - Piano Tutorial,/watch?v=mTcEXTR8EZg,183955,Tonjk,12700,,536485,34
Bleach - My Pace ( Ending 6 ) - Piano Tutorial,/watch?v=6T4ur21fGSQ,62196,Tonjk,12700,,536485,12
Bleach - Sakura Biyori ( ending 10 ) - Piano Tutorial,/watch?v=qx_zNbdHFBs,77469,Tonjk,12700,,536485,14
Bleach - Hanabi ( Ending 7 ) - Piano Tutorial,/watch?v=Yb91t7hkE1A,100863,Tonjk,12700,,536485,19
Naruto - Hinata Vs Neji - Piano Tutorial,/watch?v=Yp5bCA6BJD0,184461,Tonjk,12700,,536485,34
Naruto - Sakura's theme - Piano Tutorial,/watch?v=hyCwev79oZ8,325840,Tonjk,12700,,536485,61
Naruto - Hokage Funeral - Piano Tutorial,/watch?v=BGy-FSPYiyc,2816331,Tonjk,12700,,536485,525
Naruto - Shippuuden -  Nagareboshi ( ending 1) - Piano Tutorial,/watch?v=7g6GobIwCr4,211165,Tonjk,12700,,536485,39
Naruto - Shippuuden - Michi to you all ( ending 2 )  - Piano tutorial,/watch?v=y-CKmOD917I,129836,Tonjk,12700,,536485,24
Naruto - Shippuuden - Hero's come back ( opening 1 ) Piano Tutorial,/watch?v=CvLKPRt4Y0g,353084,Tonjk,12700,,536485,66
Naruto - Natsuhiboshi - Piano Tutorial,/watch?v=u26AQ2-04E0,455745,Tonjk,12700,,536485,85
Bleach - A Requiem - Piano Tutorial,/watch?v=swMWZIZHmJ0,145057,Tonjk,12700,,536485,27
Naruto - Morning - Piano Tutorial,/watch?v=JdwDhfhbGJ8,376604,Tonjk,12700,,536485,70
Naruto - Sadness and Sorrow - Piano Tutorial,/watch?v=XMb63nsvQMo,5719522,Tonjk,12700,,536485,1066
Bleach - Asterisk ( Opening 1)  - Piano Tutorial,/watch?v=5PGEf3-pAHs,201953,Tonjk,12700,,536485,38
Bleach - Morning Remembrance - Piano Tutorial,/watch?v=vZl5rEKCk9g,524608,Tonjk,12700,,536485,98
Bleach - Here to stay - Piano Tutorial,/watch?v=5flbrhaJHXU,259133,Tonjk,12700,,536485,48
Bleach - Never meant to belong - Piano Tutorial,/watch?v=sn5Ua_F4Lmc,598868,Tonjk,12700,,536485,112
Bleach - Will of the heart - Piano Tutorial,/watch?v=aEndEPil6_o,598792,Tonjk,12700,,536485,112
Thajländare blir ägd av Leif Loket olsson,/watch?v=hY6yI38_VYQ,1036,Tonjk,12700,,536485,0
Noob blir ägd av Gunvald Larssons soundboard,/watch?v=oUA_clgABxA,3509,Tonjk,12700,,536485,1
