title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
GACHA NEW BANNER CFYOW VERSION STARK SUMMONS BLEACH BRAVE SOULS INDONESIA !,/watch?v=BAU_M6jE414,396,WuriReview,,9時間前,1705,23
GACHA NEW BANNER FOUNDERS CYCLE SUMMONS ICHIBE! KEAMPASAN BERLANJUT! BLEACH BRAVE SOULS INDONESIA!,/watch?v=6UACBUy5LSc,1287,WuriReview,,2日前,1705,75
NNOITORA (CFYOW VER) SHOWCASE IN PVP!! BLEACH BRAVE SOULS INDONESIA,/watch?v=b7DEb3_Ms7g,395,WuriReview,,3日前,1705,23
GACHA NEW BANNER CFYOW VERSION NNOITORA SUMMONS BLEACH BRAVE SOULS INDONESIA !,/watch?v=nR5cUnhq6KY,1307,WuriReview,,1週間前,1705,77
GACHA ALL IN NEW BANNER FIERCE BATTLE GENIUS SUMMON BLEACH BRAVE SOULS INDONESIA !,/watch?v=JInAbAyfM2A,893,WuriReview,,1週間前,1705,52
GACHA 2000+ ORB NEW BANNER CFYOW VERSION SUMMONS SECOND ACCOUNT BLEACH BRAVE SOULS INDONESIA!,/watch?v=-ZZkearnDvE,811,WuriReview,,2週間前,1705,48
TOP 10 TIER LIST SPEED CHARACTERS (AUGUST 2020) BLEACH BRAVE SOULS INDONESIA !! (PVE),/watch?v=x3DFnM40w74,749,WuriReview,,2週間前,1705,44
GACHA NEW BANNER TYBW THE BLOOD WARFARE SUMMONS - BLEACH BRAVE SOULS INDONESIA,/watch?v=o0RvFKDEz4o,1049,WuriReview,,2週間前,1705,62
GACHA 2000+ ORB NEW BANNER SUMMONS CFYOW STEPS UP BLEACH BRAVE SOULS,/watch?v=XaPiCLVSTPU,765,WuriReview,,3週間前,1705,45
GACHA 2000+ ORB STEPS UP NEW BANNER JUGRAM - THOUSAND YEAR BLOOD WAR ( TYBW ) BLEACH BRAVE SOULS !,/watch?v=F1uWTg9FTL4,355,WuriReview,,3週間前,1705,21
BEST ICHIGO? MAX LINK SLOT ICHIGO FULLGETSU 5TH ANNIVERSARY - BLEACH BRAVE SOULS INDONESIA,/watch?v=3qBWZC8YFY4,588,WuriReview,,1か月前,1705,34
BYAKUYA 5TH ANNIVERSARY GAMEPLAY PVE & PVP! BLEACH BRAVE SOULS INDONESIA,/watch?v=Q4mFeEZ5WFI,715,WuriReview,,1か月前,1705,42
GACHA 1000+ ORB NEW STEPS UP BANNER SUMMON 5TH ANNIVERSARY BLEACH BRAVE SOULS INDONESIA,/watch?v=GmeuqS580SA,589,WuriReview,,1か月前,1705,35
ALL SKILL AND GAMEPLAY REISHI BYAKUYA & ICHIGO 5TH ANNIVERSARY ! BLEACH BRAVE SOULS! INDONESIA,/watch?v=HrhEXwI2nL4,949,WuriReview,,1か月前,1705,56
GACHA 1000+ ORB!! NEW STEPS UP SUMMON BANNER BLEACH BRAVE SOULS INDONESIA!,/watch?v=Pg0ri-YJSk4,1763,WuriReview,,1か月前,1705,103
GACHA 900+ ORB!! SUMMONS STEPS UP BANNER BLEACH BRAVE SOULS INDONESIA!,/watch?v=0I3U9HccPq8,1572,WuriReview,,1か月前,1705,92
THE SEVEN DEADLY SINS : GRAND CROSS - HELL FINAL BOSS MERLIN,/watch?v=fKfyfNqFE_Q,1020,WuriReview,,1か月前,1705,60
THE SEVEN DEADLY SINS : GRAND CROSS - EXTREME FINAL BOSS MERLIN WITH TWIGO,/watch?v=kFmCoJ1sW60,1065,WuriReview,,1か月前,1705,62
THE SEVEN DEADLY SINS : GRAND CROSS - REVERSE STAGE! CLEAR AND GET MORE REWARD!!,/watch?v=z-uPJi2dxmY,714,WuriReview,,1か月前,1705,42
THE SEVEN DEADLY SINS : GRAND CROSS - EXTREME BOSS KNIGHTHOOD TESS LINE UP,/watch?v=cc5lw64i1bk,760,WuriReview,,2か月前,1705,45
THE SEVEN DEADLY SINS : GRAND CROSS - FINAL BOSS GOWTHER HELL EASY 2K+ POINT,/watch?v=nDIhN6_-ppc,1587,WuriReview,,2か月前,1705,93
THE SEVEN DEADLY SINS : GRAND CROSS - FINAL BOSS GOWTHER EXTREME F2P UNIT,/watch?v=5287wiNKvS4,1216,WuriReview,,2か月前,1705,71
THE SEVEN DEADLY SINS - GRAND CROSS : +1 OR +5 BETTER? SALVAGE EVENT,/watch?v=OOv4jAali8Y,1108,WuriReview,,2か月前,1705,65
THE SEVEN DEADLY SINS : GRAND CROSS - FAST KILL NEW BOSS KNIGTHOOD SEASON 2 (DEMONIC BEAST EINEK),/watch?v=6pWRdqsY4Xg,1254,WuriReview,,2か月前,1705,74
THE SEVEN DEADLY SINS : GRAND CROSS - TOP 10 MOST POPULAR HEROES IN GLOBAL,/watch?v=-XGr_ZX_fYw,983,WuriReview,,2か月前,1705,58
THE SEVEN DEADLY SINS : GRAND CROSS - VALENTY COMING ON GLOBAL!,/watch?v=FGzCVsAnZVs,896,WuriReview,,2か月前,1705,53
THE SEVEN DEADLY SINS : GRAND CROSS - BLUE DEMON MELIODAS! A GOOD TIER FINALLY ON GLOBAL!!,/watch?v=bEN66K66yE8,629,WuriReview,,3か月前,1705,37
THE SEVEN DEADLY SINS : GRAND CROSS - TOP 15 BEST ULTIMATE SKILL ANIMATION 7DS GRAND CROSS GLOBAL,/watch?v=30-J-KxbzF0,1019,WuriReview,,3か月前,1705,60
THE SEVEN DEADLY SINS : GRAND CROSS - SHOWCASE SKILL! HOW GOOD IS GREEN LILIA,/watch?v=isByhXuYAsQ,1598,WuriReview,,3か月前,1705,94
THE SEVEN DEADLY SINS : GRAND CROSS - FREE TO PLAY UNIT IFRIT EXTREME [7DS X TENSURA SLIME],/watch?v=OM3Pv3BxIbI,1281,WuriReview,,3か月前,1705,75
THE SEVEN DEADLY SINS : GRAND CROSS - DEMON MELIODAS ELITE PVP,/watch?v=Hr15He5lYHw,676,WuriReview,,3か月前,1705,40
THE SEVEN DEADLY SINS : GRAND CROSS - ESCANOR DOMINATES GLOBAL PVP,/watch?v=1rzecrc34Ss,366,WuriReview,,3か月前,1705,21
THE SEVEN DEADLY SINS GRAND CROSS : FINAL BOSS KING EXTREME MODE WITH CP 120K,/watch?v=1RlSRaOM86o,667,WuriReview,,3か月前,1705,39
THE SEVEN DEADLY SINS : GRAND CROSS - PVP ELITE WITH LORD TWIGO,/watch?v=VKz39BXJBjA,194,WuriReview,,4か月前,1705,11
THE SEVEN DEADLY SINS : GRAND CROSS - CRIMSON DEMON HOWLEX RAID EXTREME,/watch?v=UUku0NUP3YQ,374,WuriReview,,4か月前,1705,22
THE SEVEN DEADLY SINS : GRAND CROSS - PVP WITH GALAND THE TRUTH,/watch?v=RngMUQ7vWCs,343,WuriReview,,4か月前,1705,20
THE SEVEN DEADLY SINS : GRAND CROSS - ARTHUR AND GOWTHER? CRAZY COMBO!!,/watch?v=ZMs-c-Ggz6s,1216,WuriReview,,4か月前,1705,71
