title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
Bleach Ost 4-Number One's One Else HD,/watch?v=XNOKloWbRWY,46096,kw,10000,,3597494,1
Bleach OST 3-Fiesta De Guerra,/watch?v=WzxQeDWZMl0,4680568,kw,10000,,3597494,130
Bleach OST 3-Get Smart,/watch?v=aHaD6S2-5p0,914981,kw,10000,,3597494,25
Bleach OST 3-Principio de lucha,/watch?v=aMBBf59VTHg,1863849,kw,10000,,3597494,52
Bleach OST  3-La distancia para un duelo,/watch?v=yMWnoJhBNF8,8235866,kw,10000,,3597494,229
"Bleach OST 3-Batalla,Batalla.",/watch?v=eab7kgg8I3I,1193743,kw,10000,,3597494,33
Bleach OST 3-Escalon,/watch?v=_G1EJ716AlQ,2229519,kw,10000,,3597494,62
Bleach OST 3-Nube Negra,/watch?v=SiJ-GRwTubo,5920930,kw,10000,,3597494,165
Bleach OST 3-Clavar La Espada,/watch?v=suwfJMiXauU,10879062,kw,10000,,3597494,302
slayer-chemical warfare 1985,/watch?v=StP6eTFqGIM,10321,kw,10000,,3597494,0
