title,url,view,channel_name,channel_subscriber,create_stamp,mean_view,mean_comparison
👿 A DEMON FOX & A BIG F*CKIN TOAD 🐸 | Naruto Episodes 55 & 56 | Reaction/Review,/watch?v=acNweCqexhA,68,wul,164,,144,47
👊 ROCK ✋ PAPER ✌️ SCISSORS | Hunter x Hunter Episodes 65 & 66 | Reaction/Review,/watch?v=4q_jLFpYzWE,49,wul,164,,144,34
RENJI 🆚 BYAKUYA | Bleach Episodes 51 & 52 | Reaction/Review,/watch?v=g2tzZno2yig,420,wul,164,,144,292
⛰️ INTENSE TRAINING WITH GON & KILLUA ⛰️ | Hunter x Hunter Episodes 63 & 64 | Reaction/Review,/watch?v=NQiMxs66Qv4,84,wul,164,,144,58
👴 ENTER JIRAIYA & THE SAND'S HIDDEN INTENT! ⏳ | Naruto Episodes 53 & 54 | Reaction/Review,/watch?v=kKBtCwm4Ao4,69,wul,164,,144,48
🧊 TOSHIRO'S HYORINMARU & KAIEN SHIBA 🎃 | Bleach Episodes 48 & 49 | Reaction/Review,/watch?v=HWj_oPAHBU0,343,wul,164,,144,238
🦶 MOAR MARTIAL ARTS YAAAAASSSSS!!! 🦶 | God of Highschool - Episode 8: Close/Friend | Reaction/Review,/watch?v=FQNPs9JcX4U,36,wul,164,,144,25
🍪 GON & KILLUA MEET THEIR NEW SENSEI BISCUIT! 🍪 | Hunter x Hunter Episodes 61 & 62 | Reaction/Review,/watch?v=SuYkh8KOPvQ,92,wul,164,,144,64
🔪 KAKASHI RUNS INTO KABUTO WHILE SASUKE IS SLEEPING!!! 🔪 | Naruto Episodes 51 & 52 | Reaction/Review,/watch?v=DiKpBLTWG4E,63,wul,164,,144,44
🕵️ TOSHIRO GETS FRAMED FOR KILLING AIZEN!!! 🕵️ | Bleach Episodes 46 & 47 | Reaction/Review,/watch?v=l9wl6ZRe2QU,385,wul,164,,144,267
🔥 GON & KILLUA LEARN THEIR NEN ATTACKS!!! 🔥 | Hunter x Hunter Episodes 59 & 60 | Reaction/Review,/watch?v=BWxWJqVqhEY,97,wul,164,,144,67
ISHIDA 🆚 MAYURI | Bleach Episodes 44 & 45 | Reaction/Review,/watch?v=4ti4eWvlx60,339,wul,164,,144,235
"ROCK LEE 🆚 GAARA | Naruto Episodes 48, 49, & 50 | Reaction/Review",/watch?v=-gsazpC0qZ0,222,wul,164,,144,154
👋 I GUESS THAT'S IT FOR THE PHANTOM TROUPE... 👋 | Hunter x Hunter Episodes 57 & 58 | Reaction/Review,/watch?v=VFzkVwxioe8,159,wul,164,,144,110
HINATA 🆚 NEJI | Naruto Episodes 46 & 47 | Reaction/Review,/watch?v=DOMoc82uG8M,77,wul,164,,144,53
🈯 SHIKAI & BANKAI EXPLAINED! 🈹 | Bleach Episodes 42 & 43 | Reaction/Review,/watch?v=_SYC_kyu28k,373,wul,164,,144,259
🔫 THE PHANTOM TROUPE HUNTS DOWN KURAPIKA! 🔫 | Hunter x Hunter Episodes 55 & 56 | Reaction/Review,/watch?v=peS5M--YuSc,84,wul,164,,144,58
NARUTO 🆚 KIBA | Naruto Episodes 44 & 45 | Reaction/Review,/watch?v=cfRxmzM9uqo,46,wul,164,,144,32
👗 YORUICHI IS A BAD B*TCH?!? 👗 | Bleach Episodes 40 & 41 | Reaction/Review,/watch?v=gFzhl269qpE,358,wul,164,,144,249
🔮 THE PHANTOM TROUPE'S FORTUNES LOOK GRIM... 🔮 | Hunter x Hunter Episodes 53 & 54 | Reaction/Review,/watch?v=n2jLzhKXDd4,112,wul,164,,144,78
😮 SHIKAMARU IS ACTUALLY LEGIT!!! 😮 | Naruto Episodes 42 & 43 | Reaction/Review,/watch?v=fl8G6m6t_jk,80,wul,164,,144,56
ICHIGO 🆚 KENPACHI | Bleach Episodes 38 & 39 | Reaction/Review,/watch?v=LKpOwVe9BHc,474,wul,164,,144,329
🦟 SHINO & KANKURO 🧵 | Naruto Episodes 40 & 41 | Reaction/Review,/watch?v=6lJ_oeynd_Y,76,wul,164,,144,53
CHROLLO LUCILFER 🆚 SILVA & ZENO ZOLDYCK | Hunter x Hunter Episodes 51 & 52 | Reaction/Review,/watch?v=OQqzUZGVmQE,224,wul,164,,144,156
🧬 THESE CAPTAINS ARE BUILT DIFFERENT... 🧬 | Bleach Episodes 36 & 37 | Reaction/Review,/watch?v=ZnJkC3ciWBA,341,wul,164,,144,237
🦁 LION'S BARRAGE!!! 🦁 | Naruto Episodes 38 & 39 | Reaction/Review,/watch?v=D6hOOhy-ZiI,66,wul,164,,144,46
🕸️ THE SPIDERS CATCH GON & KILLUA! 🕸️ | Hunter x Hunter Episodes 49 & 50 | Reaction/Review,/watch?v=kZgWWUW_RP4,143,wul,164,,144,99
🎭 ICHIGO'S HOLLOW MASK & AIZEN'S DEATH ☠️ | Bleach Episodes 34 & 35 | Reaction/Review,/watch?v=EaWB_WqfVjA,400,wul,164,,144,278
🧃 WHAT CAN'T YOU DO WITH CHARYEOK? 🧃 | God of High School - Episode 7: anima/force | Reaction/Review,/watch?v=6uTdcAd8Z0o,23,wul,164,,144,16
🧃 I DON'T TRUST THIS GUY!!! 🧃 | Naruto Episodes 36 & 37 | Reaction/Review,/watch?v=cJxCRvcSmI4,52,wul,164,,144,36
KURAPIKA 🆚 UVOGIN | Hunter x Hunter Episodes 47 & 48 | Reaction/Review,/watch?v=WSAUR87APKc,256,wul,164,,144,178
ICHIGO 🆚 RENJI | Bleach Episodes 31 & 32 | Reaction/Review,/watch?v=tTxXdNVwGXc,255,wul,164,,144,177
👿 GAARA IS DANGEROUS AF... 👿 | Naruto Episodes 34 & 35 | Reaction/Review,/watch?v=C86AklCkxJE,88,wul,164,,144,61
🔥 THIS FIGHT IS GONNA BE SO LIT!!! 🔥 | Hunter x Hunter Episodes 45 & 46 | Reaction/Review,/watch?v=PiSCCc6Af_Q,120,wul,164,,144,83
🐺 KENPACHI ZARAKI & YACHIRU KUSAJISHI 🌸 | Bleach Episodes 29 & 30 | Reaction/Review,/watch?v=Yg3JmjwSAi0,322,wul,164,,144,224
♋️ SASUKE'S CURSE MARK ACTIVATES!!! ♋️ | Naruto Episodes 32 & 33 | Reaction/Review,/watch?v=25akoP6HomE,118,wul,164,,144,82
💪 UVOGIN GOES CRAZY!!! 💪 | Hunter x Hunter Episodes 43 & 44 | Reaction/Review,/watch?v=M27Ob-yqbTw,259,wul,164,,144,180
🏹 ISHIDA'S NEW BOW DRIP 🏹 | Bleach Episodes 27 & 28 | Reaction/Review,/watch?v=Xr_JTnn_UoE,224,wul,164,,144,156
🧃 ENTER OROCHIMARU 🧃 | Naruto Episodes 30 & 31 | Reaction/Review,/watch?v=a2bakJBIfT8,112,wul,164,,144,78
👾 THE PHANTOM TROUPE 👾 | Hunter x Hunter Episodes 41 & 42 | Reaction/Review,/watch?v=Z3d9jwiD7js,124,wul,164,,144,86
🦩 IKKAKU & AYASEGAWA 🦩 | Bleach Episodes 25 & 26 | Reaction/Review,/watch?v=5JfGuawmQ7E,250,wul,164,,144,174
⛓️ KURAPIKA USES NEN CHAINS! ⛓️ | Hunter x Hunter Episodes 39 & 40 | Reaction/Review,/watch?v=PSOxz31dbig,69,wul,164,,144,48
🐍 WHO IS THIS CREEPY PERSON?!? 🐍 | Naruto Episodes 28 & 29 | Reaction/Review,/watch?v=VBNOHiMq4PM,73,wul,164,,144,51
🔰 THE GOTEI 13 🔰 | Bleach Episodes 23 & 24 | Reaction/Review,/watch?v=0FKc7BV-1sE,250,wul,164,,144,174
🍡 GING FREECSS 🍡 | Hunter x Hunter Episodes 37 & 38 | Reaction/Review,/watch?v=wMxWI_pK86Q,102,wul,164,,144,71
❔ TENTH QUESTION & FOREST OF DEATH ☠️ | Naruto Episodes 25 & 27 | Reaction/Review,/watch?v=vcGMJA6eIqc,50,wul,164,,144,35
🧃 ENTER SOUL SOCIETY 🧃 | Bleach Episodes 21 & 22 | Reaction/Review,/watch?v=aVer-koZU_4,298,wul,164,,144,207
🥬 ENTER ZANGETSU 🥬 | Bleach Episodes 19 & 20 | Reaction/Review,/watch?v=pkFqCwun4q8,279,wul,164,,144,194
